creator_id,platform_video_id,url,caption,transcript,hashtags,posted_at,view_count,like_count,comment_count,share_count,save_count,duration_seconds,thumbnail_url,source_type,source_risk_level
creator-luzskincare,luz-001,https://www.tiktok.com/@luzskincare/video/7000000000000000001,"Rutina AM con protector solar coreano y textura ligera.","Uso protector solar coreano todos los dias por textura ligera.","skincare|kbeauty|protectorsolar",2026-06-16T12:00:00Z,22100,1620,98,42,187,38,https://cdn.briwell.local/posts/luz-001.jpg,manual,low
creator-luzskincare,luz-002,https://www.tiktok.com/@luzskincare/video/7000000000000000002,"Review honesta de SPF para piel mixta.","La textura no deja sensacion pesada y se integra con maquillaje.","spf|pielmixta|review",2026-06-15T12:00:00Z,19800,1440,84,31,155,42,https://cdn.briwell.local/posts/luz-002.jpg,manual,low
creator-luzskincare,luz-003,https://www.tiktok.com/@luzskincare/video/7000000000000000003,"Tres protectores solares que uso en ciudad.","Comparo acabado, sensacion y precio para rutina diaria.","protector|kbeauty|rutina",2026-06-14T12:00:00Z,18750,1388,79,28,141,44,https://cdn.briwell.local/posts/luz-003.jpg,manual,low
creator-luzskincare,luz-004,https://www.tiktok.com/@luzskincare/video/7000000000000000004,"GRWM con skincare coreano antes del maquillaje.","Empiezo con limpieza, serum ligero y protector solar.","grwm|skincare|maquillaje",2026-06-13T12:00:00Z,17690,1290,73,24,130,36,https://cdn.briwell.local/posts/luz-004.jpg,manual,low
creator-luzskincare,luz-005,https://www.tiktok.com/@luzskincare/video/7000000000000000005,"Texturas de sunscreen que no se sienten pegajosas.","Muestro como queda en piel y como reaplicar.","sunscreen|textura|kbeauty",2026-06-12T12:00:00Z,21040,1511,91,37,170,41,https://cdn.briwell.local/posts/luz-005.jpg,manual,low
creator-luzskincare,luz-006,https://www.tiktok.com/@luzskincare/video/7000000000000000006,"Errores comunes al usar protector solar.","Cantidad, reaplicacion y acabado son puntos clave.","spf|tips|skincare",2026-06-11T12:00:00Z,16920,1198,66,22,118,39,https://cdn.briwell.local/posts/luz-006.jpg,manual,low
creator-luzskincare,luz-007,https://www.tiktok.com/@luzskincare/video/7000000000000000007,"Skincare coreano para clima humedo.","Busco capas ligeras, hidratacion y proteccion diaria.","kbeauty|climahumedo|rutina",2026-06-10T12:00:00Z,19440,1422,88,35,149,47,https://cdn.briwell.local/posts/luz-007.jpg,manual,low
creator-luzskincare,luz-008,https://www.tiktok.com/@luzskincare/video/7000000000000000008,"Probando un limpiador suave antes del SPF.","Una rutina simple ayuda a que el protector se vea mejor.","limpiador|spf|piel",2026-06-09T12:00:00Z,15800,1050,54,18,103,34,https://cdn.briwell.local/posts/luz-008.jpg,manual,low
creator-luzskincare,luz-009,https://www.tiktok.com/@luzskincare/video/7000000000000000009,"Favoritos K-beauty para rutina rapida.","Incluyo serum, crema ligera y protector solar.","favoritos|kbeauty|skincare",2026-06-08T12:00:00Z,20330,1488,87,33,162,45,https://cdn.briwell.local/posts/luz-009.jpg,manual,low
creator-luzskincare,luz-010,https://www.tiktok.com/@luzskincare/video/7000000000000000010,"Como leo claims de productos de skincare.","Prefiero promesas cosmeticas claras y expectativas realistas.","claims|skincare|review",2026-06-07T12:00:00Z,14670,940,61,19,92,43,https://cdn.briwell.local/posts/luz-010.jpg,manual,low
creator-luzskincare,luz-011,https://www.tiktok.com/@luzskincare/video/7000000000000000011,"SPF bajo maquillaje: prueba de ocho horas.","Reviso brillo, sensacion y como se ve en camara.","spf|maquillaje|prueba",2026-06-06T12:00:00Z,23100,1720,102,45,190,52,https://cdn.briwell.local/posts/luz-011.jpg,manual,low
creator-luzskincare,luz-012,https://www.tiktok.com/@luzskincare/video/7000000000000000012,"Rutina de noche despues de usar sunscreen.","Doble limpieza suave y serum ligero para cerrar el dia.","doblelimpieza|serum|rutina",2026-06-05T12:00:00Z,15420,980,58,17,98,37,https://cdn.briwell.local/posts/luz-012.jpg,manual,low
creator-luzskincare,luz-013,https://www.tiktok.com/@luzskincare/video/7000000000000000013,"Productos que si volveria a comprar.","El criterio es textura, precio y constancia en la rutina.","comprar|review|skincare",2026-06-04T12:00:00Z,18860,1350,80,27,136,40,https://cdn.briwell.local/posts/luz-013.jpg,manual,low
creator-luzskincare,luz-014,https://www.tiktok.com/@luzskincare/video/7000000000000000014,"Mini tutorial de reaplicacion de protector.","Uso cantidad moderada y explico cuando reaplicar.","reaplicacion|protector|tips",2026-06-03T12:00:00Z,17110,1220,70,23,124,35,https://cdn.briwell.local/posts/luz-014.jpg,manual,low
creator-luzskincare,luz-015,https://www.tiktok.com/@luzskincare/video/7000000000000000015,"Skincare antes de grabar contenido UGC.","Muestro textura real, empaque y primer uso.","ugc|textura|kbeauty",2026-06-02T12:00:00Z,16290,1108,62,21,112,46,https://cdn.briwell.local/posts/luz-015.jpg,manual,low
creator-luzskincare,luz-016,https://www.tiktok.com/@luzskincare/video/7000000000000000016,"Preguntas de seguidores sobre protector solar.","Respondo dudas frecuentes sin prometer resultados medicos.","faq|spf|comentarios",2026-06-01T12:00:00Z,21480,1580,116,39,178,50,https://cdn.briwell.local/posts/luz-016.jpg,manual,low
creator-luzskincare,luz-017,https://www.tiktok.com/@luzskincare/video/7000000000000000017,"Rutina minimalista para piel grasa.","Capas ligeras, buen acabado y protector diario.","pielgrasa|rutina|protector",2026-05-31T12:00:00Z,18120,1305,76,26,129,41,https://cdn.briwell.local/posts/luz-017.jpg,manual,low
creator-luzskincare,luz-018,https://www.tiktok.com/@luzskincare/video/7000000000000000018,"Comparando acabados: glow vs natural.","Elijo segun clima, maquillaje y sensacion en piel.","glow|natural|skincare",2026-05-30T12:00:00Z,15380,1010,57,20,101,33,https://cdn.briwell.local/posts/luz-018.jpg,manual,low
creator-luzskincare,luz-019,https://www.tiktok.com/@luzskincare/video/7000000000000000019,"Unboxing de productos coreanos para rutina AM.","Muestro empaque, textura y primeras impresiones.","unboxing|kbeauty|rutinaam",2026-05-29T12:00:00Z,19610,1401,83,32,145,48,https://cdn.briwell.local/posts/luz-019.jpg,manual,low
creator-luzskincare,luz-020,https://www.tiktok.com/@luzskincare/video/7000000000000000020,"Checklist para colaborar con marcas de skincare.","Pido claims claros, brief y libertad para review honesta.","collab|skincare|reviewhonesta",2026-05-28T12:00:00Z,20770,1522,94,36,166,49,https://cdn.briwell.local/posts/luz-020.jpg,manual,low
